iso3,country,framework,report_title,report_date,publication_url,pdf_sha256,metric,year,value,unit,pdf_page,printed_page,table_ref,definition_basis,debt_perimeter,incl_central_bank,incl_guarantees,incl_nonguaranteed_soe,domestic_fx_linked_flag,is_proxy,proxy_source,extraction_method,confidence,notes
BEL,Belgium,MAC_SRDSF,Belgium: 2026 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Belgium,2026-02-01,https://elibrary.imf.org/view/journals/002/2026/049/002.2026.issue-049-en.xml,246c56950753d857e25fa25b9944fa3cfd26f1c87875b6e83d8fc69d8e12d391,fx_share,2024,0.0,pct_total_debt,55,49,"Figure III.3. Belgium: Public Debt Structure Indicators, Debt by Currency (Percent of GDP)",currency,public_sector,n,unknown,n,n,n,,figure,medium,"TEA-878 source adjudication. Review ID 6ab5c1c00fd9d5b1. Decision correct_value. Visible arithmetic: At 2024, foreign-currency debt is 0.0 percent of GDP and the currency-chart total is positive at about 103 percent of GDP; 100 x 0.0 / positive total = 0.0 percent of total debt.. Evidence: PDF page 55 (printed page 49) is an explicit Debt by Currency chart; the panel-specific note states that the perimeter is consolidated public sector. | The canonical vector chart contains no foreign-currency area series at any year. At the 2024 actual point the entire positive stack is local currency; the local-linked series is also degenerate at zero. | PDF page 54 records the underlying DSA subsectors and excludes the central bank and public nonfinancial corporations; its commentary describes the debt coverage as general government, while the selected carrier's own note says consolidated public sector. | Candidate page 14 is holder-residency evidence, not currency composition. Candidate page 52 is narrative debt-profile context and was not used for the reviewed value. | Manual source adjudication of an automatic invalid-arithmetic abstention. The exact zero is supported by the canonical vector chart, but confidence remains medium under schema v0's figure-read cap; no validator, schema, source, or gold-set gate was changed."
BEN,Benin,LIC_DSF,Benin: Seventh Reviews Under the Extended Fund Facility and the Extended Credit Facility Arrangements and Fourth Review Under the Resilience and Sustainability Facility Arrangement-Press Release; Staff Report; and Statement by the Executive Director for Benin,2026-04-01,https://elibrary.imf.org/view/journals/002/2026/086/002.2026.issue-086-en.xml,6b45cf48e237734a0ce511907612e98abeb160d4188e3ca6dca6d6b5529cf08b,fx_share,2024,78.3,pct_total_debt,100,9,"Table 1. Benin: Decomposition of Public Debt and Debt Service by Creditor, 2024–26",currency,central_government,y,n,n,unknown,n,,table,high,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=89444e062778658dab6c7eb1377f70a2b5bd0cc67668b4ba8886df073eb87512. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BEN.json. PDF page 100, Table 1 reports 2024 total debt of 60.5 percent of GDP and external debt of 47.4 percent of GDP; the external row is 78.3 percent of total debt. | Visible arithmetic: 47.4 / 60.5 × 100 = 78.35 percent, matching the table's reported 78.3 percent after rounding. | PDF page 93 states that the DSA covers central-government and central-bank debt and that external debt is defined on a currency basis, except that BOAD debt is treated as external for DSA purposes. | PDF page 93, Text Table 1 checks central government and central-bank debt borrowed on behalf of government; guarantees and non-guaranteed SOE debt are unchecked. The accompanying text explicitly says guaranteed and non-guaranteed SOE debt are not included. | PDF page 19 independently describes the end-2024 composition as 78 percent of debt externally denominated."
BFA,Burkina Faso,LIC_DSF,"Burkina Faso: Fourth Review Under the Extended Credit Facility Arrangement, Financing Assurances Review, and Request for an Arrangement Under the Resilience and Sustainability Facility-Press Release; Staff Report; and Statement by the Executive Director for Burkina Faso",2026-03-23,https://elibrary.imf.org/view/journals/002/2026/064/002.2026.issue-064-en.xml,4fde3f10981482998bf94a6f54454fa603e050c9540b335bf6ac788a749bd822,fx_share,2024,44.6,pct_total_debt,136,16,"Table 3. Burkina Faso: Public Debt Sustainability Framework, Baseline Scenario, 2022–2045",currency,public_sector,y,unknown,y,unknown,n,,table,high,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=83cc2bc4f00e06ac35a4340bf874e5f9a860a8f1a9d3cd20c43d24ce75dbe5e2. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BFA.json. Candidate 6, PDF page 136 (printed page 16), Table 3 reports 2024 as an Actual year: public sector debt = 57.2 percent of GDP and the subordinate row 'of which: external debt' = 25.5 percent of GDP. | The page explicitly labels the definition of external/domestic debt as 'Currency-based,' so the external component is usable as foreign-currency debt rather than a residency proxy. | Visible arithmetic: 25.5 / 57.2 × 100 = 44.58 percent of total public-sector debt. | The coverage footnote states: central government, state and local governments, central bank, and non-guaranteed SOE debt. This establishes a public-sector perimeter, inclusion of the central bank, and inclusion of non-guaranteed SOE debt."
BGD,Bangladesh,LIC_DSF,Bangladesh: 2025 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Bangladesh,2026-01-30,https://elibrary.imf.org/view/journals/002/2026/024/002.2026.issue-024-en.xml,3827b5b829555c3784f119f7f53b3f25e7d8795fd89be64933f564198be6b2ac,fx_share,FY25,46.3,pct_total_debt,87,22,"Table 2. Bangladesh: Public Sector Debt Sustainability Framework, Baseline Scenario, FY23–FY46",currency,central_government,y,y,n,unknown,n,,table,high,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=530b9a33fdb5d464b49fa531586ee750c0944db3d5f3c500ffb8d465de2ad9ba. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BGD.json. PDF page 87 marks FY2023–FY2025 as Actual; the latest actual column is FY2025. | In FY2025, the parent row 'Public sector debt 1/' is 42.1 percent of GDP and its indented 'of which external debt' row is 19.5 percent of GDP. | The page explicitly defines external/domestic debt as 'Currency-based' and says there is no material difference between the two criteria, so the external component is direct foreign-currency debt rather than a residency proxy. | Visible arithmetic: 19.5 / 42.1 × 100 = 46.32 percent of total debt. | Coverage footnote 1 states: central government, central bank, and government-guaranteed debt. This establishes a central-government base perimeter with the central bank and guarantees included. | PDF page 68 states that non-guaranteed SOE debt is excluded from the DSA coverage."
BGR,Bulgaria,MAC_SRDSF,Bulgaria: 2025 Article IV Consultation-Press Release; Staff Report; and Staff Supplement,2025-11-01,https://elibrary.imf.org/view/journals/002/2025/306/002.2025.issue-306-en.xml,fff3cf3634bc4cd7522ab7ae27cdce19b166d639792174b0744f3d48d762babc,fx_share,2024,70.8,pct_total_debt,49,44,Annex III. Figure 2: Bulgaria: Public Debt Structure Indicators,currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=aa76f0665a225afab8aa2c3753785f40a3ef804626ac07a6e3495fb214d665fd. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BGR.json. The top panel is explicitly labeled “Debt by Currency (Percent of GDP)” and distinguishes Foreign currency, Local currency, and Local-linked debt. | The coverage note directly below the currency panel states: “The perimeter shown is general government.” | The projection marker begins at 2025, so 2024 is the latest visibly historical actual observation. | At 2024, the stacked area visibly indicates foreign-currency debt of approximately 17 percent of GDP and total debt of approximately 24 percent of GDP. | Visible arithmetic: 17 / 24 × 100 = 70.8 percent of total debt. This is currency-based and is not a proxy."
BHS,"Bahamas, The",MAC_SRDSF,The Bahamas: 2024 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for The Bahamas,2025-01-01,https://elibrary.imf.org/view/journals/002/2025/008/002.2025.issue-008-en.xml,8dcb7442b636f70b7a8bd3b72803761b3a2579e0a3729ff25bd427c0b9146e47,fx_share,2024,47.6,pct_total_debt,51,46,Annex V. Figure 2. The Bahamas: Public Debt Structure Indicators,currency,public_sector,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=07382a48944ffb9e437b44d4fe0941b373b909cde6a829defa0f4f561afc93ef. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BHS.json. The upper panel is explicitly labeled “Debt by Currency (Percent of GDP)” and its legend distinguishes “Foreign currency,” “Local currency,” and “Local-linked,” establishing a currency basis. | The figure note states: “The perimeter shown is consolidated public sector.” | The projection marker begins after the 2024 actual observation, making 2024 the latest visibly supported historical year. | At 2024, the foreign-currency area is approximately 40 percent of GDP and total stacked debt is approximately 84 percent of GDP, read from the chart’s 20-percentage-point y-axis grid. The implied FX share would be about 40/84 × 100 = 47.6 percent, but the components are returned because the figure does not directly label that ratio."
BIH,Bosnia and Herzegovina,MAC_SRDSF,Bosnia and Herzegovina: 2025 Article IV Consultation-Press Release; Staff Report; Staff Supplement; and Statement  by the Alternate Executive Director for Bosnia and Herzegovina,2025-09-01,https://elibrary.imf.org/view/journals/002/2025/252/002.2025.issue-252-en.xml,45e6f83ae2892c4b3ff1f73563a2c1c5dfffddca1a0e66fadfacbad8b7ca6c03,fx_share,2024,66.1,pct_total_debt,58,53,Annex VI. Figure 3. Bosnia and Herzegovina: Public Debt Structure Indicators — Debt by Currency,currency,general_government,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=d3e2c17487dd5b9efd6c454a0ba7fb09974cbbd022b6d0c83703fa6ccbb76c36. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BIH.json. The upper chart is explicitly labeled “Debt by Currency (Percent of GDP)” and its legend distinguishes “Foreign currency,” “Local currency,” and “Local-linked.” | The chart’s note explicitly states: “The perimeter shown is general government.” | The projection marker begins after 2024, making 2024 the latest visibly historical actual observation. | At 2024, the foreign-currency area is approximately 19.5 percent of GDP and the top of the stacked debt area is approximately 29.5 percent of GDP, read from the chart’s 10-percentage-point y-axis grid. The implied FX share is about 19.5 / 29.5 × 100 ≈ 66.1 percent, but the component values are returned for pipeline computation because the figure does not directly label the ratio."
BLZ,Belize,MAC_SRDSF,Belize: 2024 Article IV Consultation-Press Release; and Staff Report,2024-05-01,https://elibrary.imf.org/view/journals/002/2024/124/002.2024.issue-124-en.xml,9d7bb45cbb28005461417ada0b99ae27efd4d418c3841a61705b7602236ce1e6,fx_share,2023,63.1,pct_total_debt,46,41,Figure 2. Belize: Public Debt Structure Indicators — Debt by Currency (Percent of GDP),currency,public_sector,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=295c35836e4977355d7d154b27e10a9d323496fe9ac07f9f984c95319c7d78db. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BLZ.json. Figure 2 directly classifies debt by currency as “Foreign currency,” “Local currency,” and “Local-linked,” establishing a currency basis. | The note under the currency chart states: “The perimeter shown is consolidated public sector.” | The projection segment begins after the 2023 endpoint, so 2023 is the latest visible historical actual observation. | At 2023, the stacked chart visibly indicates approximately 41 percent of GDP in foreign-currency debt and approximately 65 percent of GDP in total debt. | Visible arithmetic: 41 / 65 × 100 ≈ 63.1 percent of total debt. Values are chart estimates rather than printed data labels."
BOL,Bolivia,MAC_SRDSF,Bolivia: 2025 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Bolivia,2025-06-01,https://elibrary.imf.org/view/journals/002/2025/116/002.2025.issue-116-en.xml,7db0372928f69925c83fa993d56d18cb0c539de84519e9f747715e3ed8ab2af0,fx_share,2024,31.6,pct_total_debt,52,47,Table 3. Bolivia: Public Debt Structure Indicators — Debt by Currency (Percent of GDP),currency,nfps,unknown,unknown,unknown,unknown,n,,figure,medium,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=5106675d973cbb1a59c8d635ff29eac329d1f7ea60fbf3068f546be7ad7126d5. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BOL.json. The upper figure is explicitly labeled “Debt by Currency (Percent of GDP)” and separates “Foreign currency,” “Local currency,” and “Local-linked.” | The note directly beneath the currency figure states: “The perimeter shown is nonfinancial public sector.” | The projection marker begins after 2024, making 2024 the latest visibly historical actual observation. | At 2024, the foreign-currency area is approximately 30 percent of GDP and total debt is approximately 95 percent of GDP; visible arithmetic gives 30.0 / 95.0 × 100 = 31.6 percent of total debt. | This is a figure-derived estimate, so confidence is below high."
BRA,Brazil,MAC_SRDSF,Brazil: 2025 Article IV Consultation-Press Release; Staff Report; and Statement by the Executive Director for Brazil,2025-07-01,https://elibrary.imf.org/view/journals/002/2025/194/002.2025.issue-194-en.xml,ce55fbb4004407c5bc727b4568b006d92b0c81ab385971e8d5340552d5011e40,fx_share,2024,5.2,pct_total_debt,5,4,"Table 1. Brazil: Selected Economic Indicators, 2023–30",currency,general_government,unknown,unknown,unknown,unknown,n,,table,high,"Bulk live read codex_cli/gpt-5.6-sol, prompt dsa-fxshare-report-pages-v3. Candidate page image sha256=b532c86b9856e04f54afa6c73e17b31c23b255ada667df2b1f45c0a0870d06a4. Audit sidecar: /Users/teal_mac_mini_25/.codex/staging/tea-877-20260717-30pzVs/run/audit/BRA.json. In Table 1 under Public sector finances, the 2024 actual value for “General government gross debt” is 87.3 percent of GDP. | The immediately subordinate row “Of which: Foreign currency linked” is 4.5 percent of GDP in 2024, so its denominator is the parent general-government gross-debt row. | The table labels 2025–30 as projections; therefore 2024 is the latest historical actual observation. | Visible arithmetic: 4.5 ÷ 87.3 × 100 = 5.15 percent of total general government gross debt. | The phrase “Foreign currency linked” establishes a currency basis; this is a direct FX measure, not an external-debt proxy."
